                14ceni.out                                          2007/06/24

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 31  30.00000  20.34637   0.15122
 32  31.00000  21.00094   0.14867
 33  32.00000  21.65766   0.14616
 34  33.00000  22.31651   0.14401
 35  34.00000  22.97751   0.14262
 36  35.00000  23.64065   0.14244
 37  36.00000  24.30594   0.14394
 38  37.00000  24.97336   0.14759
 39  38.00000  25.64293   0.15375
 40  39.00000  26.31464   0.16270
 41  40.00000  26.98849   0.17456
 42  41.00000  27.66449   0.18933
 43  42.00000  28.34262   0.20691
 44  43.00000  29.02290   0.22717
 45  44.00000  29.70532   0.24996
 46  45.00000  30.38988   0.27513
 47  46.00000  31.07659   0.30254
 48  47.00000  31.76544   0.33207
 49  48.00000  32.45642   0.36364
 50  49.00000  33.14956   0.39715
 51  50.00000  33.84483   0.43254
 52  51.00000  34.54225   0.46976
 53  52.00000  35.24181   0.50876
 54  53.00000  35.94351   0.54951
 55  54.00000  36.64735   0.59197



  Shell (UK) 22/6-1                       

 WELL # 11 WITH  29 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   1.58681   0.43776
  2   1.00000   2.12308   0.40145
  3   2.00000   2.65753   0.36711
  4   3.00000   3.19016   0.33482
  5   4.00000   3.72098   0.30469
  6   5.00000   4.24997   0.27686
  7   6.00000   4.77714   0.25148
  8   7.00000   5.30249   0.22872
  9   8.00000   5.82603   0.20880
 10   9.00000   6.34774   0.19191
 11  10.00000   6.86764   0.17822
 12  11.00000   7.38571   0.16782
 13  12.00000   7.90197   0.16068
 14  13.00000   8.41640   0.15659
 15  14.00000   8.92902   0.15517
 16  15.00000   9.43981   0.15594
 17  16.00000   9.94879   0.15836
 18  17.00000  10.45595   0.16191
 19  18.00000  10.96129   0.16611
 20  19.00000  11.46480   0.17057
 21  20.00000  11.96650   0.17498
 22  21.00000  12.46638   0.17909
 23  22.00000  12.96444   0.18271
 24  23.00000  13.46068   0.18572
 25  24.00000  13.95510   0.18800
 26  25.00000  14.44770   0.18952
 27  26.00000  14.93848   0.19024
 28  27.00000  15.42744   0.19015
 29  28.00000  15.91459   0.18929
 30  29.00000  16.39991   0.18772
 31  30.00000  16.88341   0.18551
 32  31.00000  17.36509   0.18281
 33  32.00000  17.84496   0.17976
 34  33.00000  18.32300   0.17660
 35  34.00000  18.79922   0.17358
 36  35.00000  19.27363   0.17105
 37  36.00000  19.74621   0.16940
 38  37.00000  20.21698   0.16907
 39  38.00000  20.68592   0.17051
 40  39.00000  21.15305   0.17417
 41  40.00000  21.61836   0.18042
 42  41.00000  22.08184   0.18952
 43  42.00000  22.54351   0.20161
 44  43.00000  23.00336   0.21671
 45  44.00000  23.46139   0.23475
 46  45.00000  23.91760   0.25561
 47  46.00000  24.37198   0.27913
 48  47.00000  24.82455   0.30517
 49  48.00000  25.27530   0.33357
 50  49.00000  25.72423   0.36422
 51  50.00000  26.17134   0.39700
 52  51.00000  26.61664   0.43183
 53  52.00000  27.06011   0.46862
 54  53.00000  27.50176   0.50731
 55  54.00000  27.94159   0.54785



  Amoco (N) 2/8-1                         

 WELL # 12 WITH  19 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.00164   0.56445
  2   1.00000   0.27773   0.51567
  3   2.00000   0.55487   0.46948
  4   3.00000   0.83305   0.42598
  5   4.00000   1.11227   0.38529
  6   5.00000   1.39255   0.34758
  7   6.00000   1.67386   0.31304
  8   7.00000   1.95623   0.28189
  9   8.00000   2.23964   0.25441
 10   9.00000   2.52409   0.23090
 11  10.00000   2.80960   0.21163
 12  11.00000   3.09614   0.19681
 13  12.00000   3.38374   0.18646
 14  13.00000   3.67238   0.18036
 15  14.00000   3.96206   0.17801
 16  15.00000   4.25279   0.17873
 17  16.00000   4.54457   0.18171
 18  17.00000   4.83739   0.18620
 19  18.00000   5.13126   0.19151
 20  19.00000   5.42618   0.19709
 21  20.00000   5.72214   0.20252
 22  21.00000   6.01914   0.20747
 23  22.00000   6.31720   0.21173
 24  23.00000   6.61629   0.21516
 25  24.00000   6.91644   0.21766
 26  25.00000   7.21763   0.21921
 27  26.00000   7.51986   0.21984
 28  27.00000   7.82314   0.21962
 29  28.00000   8.12747   0.21869
 30  29.00000   8.43285   0.21723
 31  30.00000   8.73926   0.21550
 32  31.00000   9.04673   0.21381
 33  32.00000   9.35524   0.21257
 34  33.00000   9.66480   0.21224
 35  34.00000   9.97540   0.21337
 36  35.00000  10.28705   0.21650
 37  36.00000  10.59974   0.22218
 38  37.00000  10.91348   0.23089
 39  38.00000  11.22827   0.24299
 40  39.00000  11.54410   0.25872
 41  40.00000  11.86098   0.27814
 42  41.00000  12.17890   0.30126
