                14cen.lli.out                                       2006/11/28

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 50  49.00000  19.04300   0.25201
 51  50.00000  19.76278   0.29108
 52  51.00000  20.49392   0.33512
 53  52.00000  21.23642   0.38367
 54  53.00000  21.99027   0.43643
 55  54.00000  22.75548   0.49316



  6407/7A-1                               

 WELL #  8 WITH  10 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   2.01818   0.71985
  2   1.00000   1.95758   0.42283
  3   2.00000   2.01818   0.28868
  4   3.00000   2.20000   0.30896
  5   4.00000   2.50303   0.35248
  6   5.00000   2.92727   0.35248
  7   6.00000   3.47273   0.30896
  8   7.00000   4.13939   0.28868
  9   8.00000   4.92727   0.42283
 10   9.00000   5.83636   0.71985
 11  10.00000   6.86667   1.13284
 12  11.00000   8.01818   1.64363
 13  12.00000   9.29091   2.24621
 14  13.00000  10.68485   2.93825
 15  14.00000  12.20000   3.71871
 16  15.00000  13.83636   4.58704
 17  16.00000  15.59394   5.54295
 18  17.00000  17.47273   6.58626
 19  18.00000  19.47273   7.71686
 20  19.00000  21.59394   8.93470
 21  20.00000  23.83636  10.23970
 22  21.00000  26.20000  11.63185
 23  22.00000  28.68485  13.11112
 24  23.00000  31.29091  14.67749
 25  24.00000  34.01818  16.33095
 26  25.00000  36.86666  18.07149
 27  26.00000  39.83636  19.89910
 28  27.00000  42.92727  21.81378
 29  28.00000  46.13939  23.81552
 30  29.00000  49.47273  25.90431
 31  30.00000  52.92727  28.08016
 32  31.00000  56.50303  30.34306
 33  32.00000  60.20000  32.69302
 34  33.00000  64.01818  35.13002
 35  34.00000  67.95757  37.65407
 36  35.00000  72.01818  40.26516
 37  36.00000  76.20000  42.96330
 38  37.00000  80.50303  45.74849
 39  38.00000  84.92727  48.62072
 40  39.00000  89.47272  51.57999
 41  40.00000  94.13940  54.62630
 42  41.00000  98.92727  57.75966
 43  42.00000 103.83636  60.98006
 44  43.00000 108.86667  64.28751
 45  44.00000 114.01818  67.68199
 46  45.00000 119.29091  71.16351
 47  46.00000 124.68484  74.73208
 48  47.00000 130.20000  78.38768
 49  48.00000 135.83636  82.13033
 50  49.00000 141.59393  85.96001
 51  50.00000 147.47273  89.87674
 52  51.00000 153.47273  93.88051
 53  52.00000 159.59393  97.97131
 54  53.00000 165.83636 102.14916
 55  54.00000 172.20000 106.41405



  BP (UK) 15/20-2                         

 WELL #  9 WITH  24 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   1.36672   0.57738
  2   1.00000   1.55823   0.52912
  3   2.00000   1.75515   0.48347
  4   3.00000   1.95749   0.44054
  5   4.00000   2.16524   0.40046
  6   5.00000   2.37840   0.36342
  7   6.00000   2.59698   0.32963
  8   7.00000   2.82097   0.29932
  9   8.00000   3.05037   0.27276
 10   9.00000   3.28519   0.25023
 11  10.00000   3.52542   0.23197
 12  11.00000   3.77106   0.21809
 13  12.00000   4.02212   0.20855
 14  13.00000   4.27859   0.20306
 15  14.00000   4.54047   0.20113
 16  15.00000   4.80777   0.20208
 17  16.00000   5.08048   0.20518
 18  17.00000   5.35860   0.20971
 19  18.00000   5.64213   0.21503
 20  19.00000   5.93108   0.22061
 21  20.00000   6.22544   0.22601
 22  21.00000   6.52522   0.23090
 23  22.00000   6.83041   0.23502
 24  23.00000   7.14101   0.23817
 25  24.00000   7.45702   0.24022
 26  25.00000   7.77845   0.24107
 27  26.00000   8.10529   0.24065
 28  27.00000   8.43754   0.23893
 29  28.00000   8.77521   0.23591
 30  29.00000   9.11829   0.23163
 31  30.00000   9.46678   0.22616
 32  31.00000   9.82069   0.21961
 33  32.00000  10.18001   0.21215
 34  33.00000  10.54474   0.20402
 35  34.00000  10.91489   0.19555
 36  35.00000  11.29045   0.18721
 37  36.00000  11.67142   0.17962
 38  37.00000  12.05781   0.17355
 39  38.00000  12.44961   0.16996
 40  39.00000  12.84682   0.16985
 41  40.00000  13.24945   0.17413
 42  41.00000  13.65749   0.18344
 43  42.00000  14.07094   0.19796
 44  43.00000  14.48980   0.21757
 45  44.00000  14.91408   0.24187
 46  45.00000  15.34377   0.27042
 47  46.00000  15.77888   0.30278
 48  47.00000  16.21939   0.33858
 49  48.00000  16.66533   0.37752
 50  49.00000  17.11667   0.41937
 51  50.00000  17.57343   0.46396
 52  51.00000  18.03560   0.51114
 53  52.00000  18.50318   0.56081
 54  53.00000  18.97618   0.61288
 55  54.00000  19.45459   0.66730



  Saga (N) 2/2-4                          

 WELL # 10 WITH  40 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   1.72154   0.41753
  2   1.00000   2.29740   0.38228
  3   2.00000   2.87605   0.34888
  4   3.00000   3.45752   0.31740
  5   4.00000   4.04179   0.28793
  6   5.00000   4.62887   0.26056
  7   6.00000   5.21876   0.23542
  8   7.00000   5.81145   0.21267
  9   8.00000   6.40695   0.19249
 10   9.00000   7.00525   0.17505
 11  10.00000   7.60637   0.16055
 12  11.00000   8.21029   0.14911
 13  12.00000   8.81701   0.14076
 14  13.00000   9.42655   0.13539
 15  14.00000  10.03889   0.13269
 16  15.00000  10.65404   0.13224
 17  16.00000  11.27199   0.13350
 18  17.00000  11.89275   0.13595
 19  18.00000  12.51632   0.13909
 20  19.00000  13.14269   0.14254
 21  20.00000  13.77187   0.14594
