                27cenai.out                                         2007/03/15

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  60 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 29  28.00000  10.07286   0.12651
 30  29.00000  10.44336   0.12805
 31  30.00000  10.81794   0.12975
 32  31.00000  11.19660   0.13156
 33  32.00000  11.57934   0.13344
 34  33.00000  11.96615   0.13533
 35  34.00000  12.35704   0.13720
 36  35.00000  12.75201   0.13902
 37  36.00000  13.15106   0.14075
 38  37.00000  13.55419   0.14237
 39  38.00000  13.96140   0.14386
 40  39.00000  14.37268   0.14520
 41  40.00000  14.78804   0.14637
 42  41.00000  15.20748   0.14736
 43  42.00000  15.63100   0.14816
 44  43.00000  16.05860   0.14875
 45  44.00000  16.49027   0.14914
 46  45.00000  16.92603   0.14930
 47  46.00000  17.36586   0.14925
 48  47.00000  17.80977   0.14897
 49  48.00000  18.25776   0.14846
 50  49.00000  18.70982   0.14773
 51  50.00000  19.16597   0.14677
 52  51.00000  19.62619   0.14559
 53  52.00000  20.09049   0.14419
 54  53.00000  20.55887   0.14257
 55  54.00000  21.03133   0.14075
 56  55.00000  21.50787   0.13873
 57  56.00000  21.98848   0.13653
 58  57.00000  22.47318   0.13416
 59  58.00000  22.96195   0.13164
 60  59.00000  23.45480   0.12899
 61  60.00000  23.95172   0.12623
 62  61.00000  24.45273   0.12340
 63  62.00000  24.95781   0.12054
 64  63.00000  25.46698   0.11768
 65  64.00000  25.98022   0.11488
 66  65.00000  26.49754   0.11220
 67  66.00000  27.01893   0.10970
 68  67.00000  27.54441   0.10746
 69  68.00000  28.07396   0.10557
 70  69.00000  28.60760   0.10412
 71  70.00000  29.14531   0.10320
 72  71.00000  29.68709   0.10290
 73  72.00000  30.23296   0.10333
 74  73.00000  30.78291   0.10455
 75  74.00000  31.33693   0.10662
 76  75.00000  31.89503   0.10960
 77  76.00000  32.45721   0.11349
 78  77.00000  33.02347   0.11829
 79  78.00000  33.59381   0.12399
 80  79.00000  34.16822   0.13055
 81  80.00000  34.74672   0.13794
 82  81.00000  35.32928   0.14611
 83  82.00000  35.91594   0.15502
 84  83.00000  36.50666   0.16462
 85  84.00000  37.10147   0.17488
 86  85.00000  37.70036   0.18575
 87  86.00000  38.30332   0.19722
 88  87.00000  38.91036   0.20924
 89  88.00000  39.52148   0.22179
 90  89.00000  40.13668   0.23485
 91  90.00000  40.75595   0.24841
 92  91.00000  41.37931   0.26243
 93  92.00000  42.00674   0.27692
 94  93.00000  42.63825   0.29186
 95  94.00000  43.27384   0.30723
 96  95.00000  43.91351   0.32303
 97  96.00000  44.55725   0.33925
 98  97.00000  45.20507   0.35588



  Esso (N) 16/1-1                         

 WELL #  5 WITH  56 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.84748   0.40460
  2   1.00000   1.04505   0.38696
  3   2.00000   1.24635   0.36978
  4   3.00000   1.45137   0.35308
  5   4.00000   1.66012   0.33686
  6   5.00000   1.87259   0.32113
  7   6.00000   2.08879   0.30591
  8   7.00000   2.30871   0.29120
  9   8.00000   2.53236   0.27703
 10   9.00000   2.75973   0.26340
 11  10.00000   2.99083   0.25033
 12  11.00000   3.22566   0.23785
 13  12.00000   3.46421   0.22596
 14  13.00000   3.70648   0.21470
